Iteration,NashConv
10247.980677365984, 4.948506590909077
27636.902201294753, 4.316844379729897
52893.73746757314, 3.8350085273702086
86331.68407011584, 2.999247914724114
127756.49214671155, 2.324366173381466
175663.22474314462, 1.9374367479785413
304819.3644155697, 1.8013442908259767
643443.8263328994, 1.3960112185640596
1262013.0034499117, 0.9787882153658922
2271867.394832965, 0.7247891098337952
3618350.539855915, 0.5515642875292763
5623413.251903491, 0.4084313467393086
7732107.3026826, 0.31652735402395393
12164839.490258526, 0.2544010098886342
22168927.38537928, 0.1783687030196675
