,Iteration,Milliblinds
0,1.0174984607771729,1901.8497393329155
1,1.9461827294079332,1804.234180831998
2,3.8739774551500568,1183.658836460852
3,6.826733409489556,680.6940353624336
4,16.639260167173752,401.9009133269014
5,30.522085668445182,182.33480008684438
6,62.00558169138999,126.09169965852747
7,92.9017335379441,68.7905218605731
8,200.47838452051536,37.52932120564012
9,508.76084694735806,19.94211273527094
10,972.5721070605936,13.790756829604803
11,2057.615234209613,9.791442591251691
12,4444.581983222913,9.288880734072617
13,9408.383315130155,9.047357242349312
14,15301.7929505605,8.58298678662708
15,25397.59538074285,8.359817494495122
16,50588.06724154621,7.930736144473686
17,98750.89601830688,7.930736144473686
